frequency,raw
19.23,4.27
19.34,4.28
19.45,4.28
19.57,4.29
19.68,4.29
19.80,4.30
19.91,4.30
20.03,4.30
20.14,4.31
20.26,4.31
20.38,4.32
20.50,4.32
20.62,4.33
20.74,4.33
20.86,4.34
20.98,4.35
21.10,4.36
21.22,4.37
21.34,4.38
21.47,4.38
21.59,4.39
21.72,4.40
21.85,4.41
21.97,4.42
22.10,4.43
22.23,4.44
22.36,4.45
22.49,4.46
22.62,4.47
22.75,4.47
22.88,4.47
23.01,4.48
23.15,4.48
23.28,4.49
23.42,4.49
23.55,4.50
23.69,4.50
23.83,4.51
23.97,4.51
24.11,4.51
24.25,4.51
24.39,4.51
24.53,4.50
24.67,4.50
24.81,4.50
24.96,4.50
25.10,4.49
25.25,4.49
25.40,4.49
25.54,4.49
25.69,4.48
25.84,4.49
25.99,4.49
26.14,4.49
26.30,4.49
26.45,4.49
26.60,4.49
26.76,4.49
26.91,4.49
27.07,4.49
27.23,4.50
27.38,4.49
27.54,4.49
27.70,4.49
27.86,4.49
28.03,4.49
28.19,4.48
28.35,4.48
28.52,4.48
28.68,4.48
28.85,4.48
29.02,4.48
29.19,4.48
29.36,4.48
29.53,4.48
29.70,4.49
29.87,4.49
30.04,4.49
30.22,4.49
30.39,4.49
30.57,4.49
30.75,4.48
30.93,4.48
31.11,4.47
31.29,4.47
31.47,4.47
31.65,4.46
31.84,4.46
32.02,4.45
32.21,4.44
32.39,4.44
32.58,4.43
32.77,4.42
32.96,4.42
33.15,4.41
33.35,4.40
33.54,4.40
33.73,4.39
33.93,4.38
34.13,4.37
34.33,4.36
34.53,4.36
34.73,4.35
34.93,4.34
35.13,4.33
35.34,4.33
35.54,4.32
35.75,4.31
35.95,4.31
36.16,4.30
36.37,4.30
36.59,4.29
36.80,4.29
37.01,4.28
37.23,4.27
37.44,4.26
37.66,4.25
37.88,4.24
38.10,4.23
38.32,4.22
38.54,4.21
38.77,4.20
38.99,4.18
39.22,4.17
39.45,4.16
39.68,4.14
39.91,4.13
40.14,4.12
40.37,4.11
40.61,4.11
40.84,4.11
41.08,4.10
41.32,4.10
41.56,4.09
41.80,4.09
42.04,4.07
42.29,4.06
42.53,4.04
42.78,4.03
43.03,4.01
43.28,4.00
43.53,3.98
43.78,3.97
44.04,3.96
